flag	read_sites	enclosing_functions	what_it_gates	L_group	t2_levers_entry	roster_verdict	go_stack.sh	run_ours_task.sh	arms/viewmax2.env	set_in_live_chain
T2_NOREC_BRANCH	t2_compute.py:780;t2_compute.py:783	_apply_op	if os.environ.get("T2_NOREC_BRANCH") == "1" and spec.get("no_record_template_v2"):	L8		UNMEASURED	1			yes
T2_NOTICE_REPEAT	t2_gate_patch.py:15263	apply_unified_regen	if (os.environ.get("T2_NOTICE_REPEAT", "1") == "1"	L6	CELLS,DEFAULT_ON	UNMEASURED(L6 미판정)				no
T2_NOW_SELFCALL	t2_gate_patch.py:5024	_search_material	if (not _nowtx and _ntool and os.environ.get("T2_NOW_SELFCALL") == "1"):	L9		UNMEASURED				no
T2_NO_DIGEST_REEXEC	t2_gate_patch.py:7968;t2_gate_patch.py:8007;t2_gate_patch.py:8073	_install_regen_exec	and os.environ.get("T2_NO_DIGEST_REEXEC") != "1":	L11		UNMEASURED				no
T2_NO_FORCE_TOOLCHOICE	t2_run_gated.py:366;t2_run_gated.py:371	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):					1		yes
T2_OFF_CELLS	t2_levers.py:498	enabled	off = {c.strip() for c in (os.environ.get("T2_OFF_CELLS") or "").split(",") if c.strip()}							no
T2_OPERATOR_PINPOINT	t2_resolve.py:320	resolve_operator	if os.environ.get("T2_OPERATOR_PINPOINT") != "1":			HARMFUL				no
T2_P2_CAP	t2_run_gated.py:466	main	_t2_p2_cap = int(os.environ.get("T2_P2_CAP", "3") or 3)							no
T2_P2_EMPTY	t2_run_gated.py:796	main	_empty2 = (os.environ.get("T2_P2_EMPTY", "1") == "1" and _t2_msg_empty(_r))				1			yes
T2_P2_NOFORCE	t2_run_gated.py:829	main	if os.environ.get("T2_P2_NOFORCE") != "1":							no
T2_P2_REGEN	t2_run_gated.py:366;t2_run_gated.py:465	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):					1		yes
T2_P2_STOP	t2_run_gated.py:805	main	if os.environ.get("T2_P2_STOP") == "1":							no
T2_PAIRCHECK	t2_gate_patch.py:8897	apply_unified_regen	if os.environ.get("T2_PAIRCHECK") == "1" and not getattr(self, "_t2_paircheck_hit", False):		HARNESS		1			yes
T2_PAIRFIX	t2_gate_patch.py:7889;t2_gate_patch.py:8887	_install_overflow_guard;apply_unified_regen	if os.environ.get("T2_PAIRFIX") == "1" and message_history:		HARNESS		1			yes
T2_PARAM_CAP	t2_gate_patch.py:10333	apply_unified_regen	if (os.environ.get("T2_PARAM_CAP") == "1" and _pcs	L1	META	UNMEASURED	1			yes
T2_PARAM_CAP_CAP	t2_gate_patch.py:10337	apply_unified_regen	< int(os.environ.get("T2_PARAM_CAP_CAP", "4"))):							no
T2_PHASE_OWNER	t2_gate_patch.py:11242	apply_unified_regen	and os.environ.get("T2_PHASE_OWNER") == "1")	L9	CELLS	UNMEASURED	1			yes
T2_PIN_READ	t2_pin_read.py:55;t2_pin_read.py:346;t2_pin_read.py:404;t2_pin_read.py:406	enabled;selftest	return os.environ.get("T2_PIN_READ") == "1"	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_PIN_READ_STEPS	t2_gate_patch.py:9257;t2_gate_patch.py:9760;t2_gate_patch.py:13441	apply_unified_regen	if os.environ.get("T2_PIN_READ_STEPS") == "1" and a2 is not None:	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_PRECLOSE_CAP	t2_gate_patch.py:9377	apply_unified_regen	< int(os.environ.get("T2_PRECLOSE_CAP", "2"))):		META		2			yes
T2_PREKB	t2_prekb_patch.py:441;t2_run_gated.py:298	apply;main	if os.environ.get("T2_PREKB") != "1" or not tool_calls:	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_PRESCRIPTION	t2_gate_patch.py:11745	apply_unified_regen	if (os.environ.get("T2_PRESCRIPTION") == "1" and _prs	L10	CELLS	UNMEASURED	1			yes
T2_PRESCRIPTION_CAP	t2_gate_patch.py:11750	apply_unified_regen	< int(os.environ.get("T2_PRESCRIPTION_CAP", "3"))):							no
T2_PRESENT_NESTED	t2_gate_patch.py:1242;t2_gate_patch.py:8177	_install_regen_exec;apply	nested_specs = (a2.get("present_specs") or []) if os.environ.get("T2_PRESENT_NESTED") == "1" else []	L11		NEAR_VALID(0 VALID)				no
T2_PRESENT_READS	t2_gate_patch.py:1238;t2_gate_patch.py:8175	_install_regen_exec;apply	present_on = os.environ.get("T2_PRESENT_READS") == "1"			HARMFUL				no
T2_PRINCIPLE_DEFAULT	t2_gate_patch.py:13970	apply_unified_regen	if os.environ.get("T2_PRINCIPLE_DEFAULT") == "1" and gate is not None:			DARK				no
T2_PROBE_CALLS	t2_run_gated.py:381	main	_t2_probe_calls = {c.strip() for c in (os.environ.get("T2_PROBE_CALLS") or							no
T2_PROBE_KEEP_THINK	t2_run_gated.py:711;t2_run_gated.py:722	main	if os.environ.get("T2_PROBE_KEEP_THINK") == "1" else _t2_probe_mt)							no
T2_PROBE_KEEP_THINK_MAX	t2_run_gated.py:710	main	_mt_cap = (int(os.environ.get("T2_PROBE_KEEP_THINK_MAX", "2048") or 2048)							no
T2_PROBE_MAX_TOKENS	t2_run_gated.py:387	main	_t2_probe_mt = int(os.environ.get("T2_PROBE_MAX_TOKENS", "256") or 0)							no
T2_PROBE_NOTHINK	t2_run_gated.py:678	main	_keep = os.environ.get("T2_PROBE_NOTHINK") != "1" # 기본 = 사고 유지							no
T2_PROBE_TERSE	t2_run_gated.py:366;t2_run_gated.py:379	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):					1		yes
T2_PROBE_THINK_BUDGET	t2_run_gated.py:647	main	_tb = _think_budget(os.environ.get("T2_PROBE_THINK_BUDGET"),							no
T2_PROCEDURE	t2_gate_patch.py:9632;t2_gate_patch.py:14196	apply_unified_regen	if (a2 is not None and os.environ.get("T2_PROCEDURE") == "1") else None)	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_PROCEDURE_CAP	t2_gate_patch.py:9638;t2_gate_patch.py:14206	apply_unified_regen	>= int(os.environ.get("T2_PROCEDURE_CAP", "6")))		PARAMS		6			yes
T2_PROCEDURE_LEFT	t2_gate_patch.py:15150	apply_unified_regen	if (os.environ.get("T2_PROCEDURE_LEFT") == "1" and _resign				0			yes
T2_PROCEED_DOCBODY	t2_gate_patch.py:4859	_search_material	if (os.environ.get("T2_PROCEED_DOCBODY") == "1"	L5		UNMEASURED(L5 미판정)				no
T2_PROC_ABSENT	t2_gate_patch.py:9720	apply_unified_regen	and os.environ.get("T2_PROC_ABSENT") == "1"):	L8	CELLS	UNMEASURED	1			yes
T2_PROC_ABSENT_K	t2_gate_patch.py:9726	apply_unified_regen	_K = int(os.environ.get("T2_PROC_ABSENT_K", "3"))		PARAMS		3			yes
T2_PROC_PIN_REARM	t2_gate_patch.py:13420	apply_unified_regen	_rearm = int(os.environ.get("T2_PROC_PIN_REARM", "0"))		CELLS		1			yes
T2_PROC_REGEN	t2_gate_patch.py:14197	apply_unified_regen	if _procsR and os.environ.get("T2_PROC_REGEN", "1") == "1":				1			yes
T2_PROD_BIND	t2_scaffold_get.py:2816	apply	if os.environ.get("T2_PROD_BIND") == "1" else {})	L1	CELLS	UNMEASURED	1			yes
T2_PROMPT_DUMP	t2_gate_patch.py:7181;t2_gate_patch.py:8694	apply_provenance_regen;apply_unified_regen	if os.environ.get("T2_PROMPT_DUMP") == "1":				0			yes
T2_PROMPT_DUMP_MAX	t2_gate_patch.py:7193;t2_gate_patch.py:8697	apply_provenance_regen;apply_unified_regen	_cap = int(os.environ.get("T2_PROMPT_DUMP_MAX", "60000"))							no
T2_PROMPT_DUMP_TASKS	t2_gate_patch.py:7186	apply_provenance_regen	_want = os.environ.get("T2_PROMPT_DUMP_TASKS", "")							no
T2_PROVENANCE	t2_gate_patch.py:1247	apply	prov_on = os.environ.get("T2_PROVENANCE") == "1"			DARK				no
T2_PROV_ADDR_FULL	t2_gate_patch.py:12815	apply_unified_regen	_addr_full = (os.environ.get("T2_PROV_ADDR_FULL") == "1"			DARK				no
T2_PROV_BADWORDS	t2_run_gated.py:222	main	badwords_on = os.environ.get("T2_PROV_BADWORDS", "0") == "1"			DARK				no
T2_PROV_GROUND	t2_run_gated.py:223	main	ground_on = os.environ.get("T2_PROV_GROUND", "0") == "1"			DARK				no
T2_PROV_MODE	t2_run_gated.py:228	main	prov_mode = os.environ.get("T2_PROV_MODE", "full") # P-C: full|rescue	L3	HARNESS	NEAR_VALID(0 VALID)	full			yes
T2_PROV_ORIGIN	t2_gate_patch.py:9316	apply_unified_regen	if fab is None and os.environ.get("T2_PROV_ORIGIN") == "1":			DARK				no
T2_PROV_OURS	t2_gate_patch.py:14280;t2_resolve.py:169	apply_unified_regen;resolve_operator	if os.environ.get("T2_PROV_OURS") == "1" else set())	L3		UNMEASURED	1			yes
T2_PROV_REGEN	t2_run_gated.py:221	main	regen_on = os.environ.get("T2_PROV_REGEN") == "1"		CELLS	HARMFUL	1			yes
T2_PROV_REGEN_K	t2_run_gated.py:250;t2_run_gated.py:258;t2_run_gated.py:265	main	max_prov_retries=int(os.environ.get("T2_PROV_REGEN_K", "4")),		HARNESS		4			yes
T2_QUOTE_HINT	t2_quote_hint.py:42;t2_quote_hint.py:106;t2_quote_hint.py:122;t2_quote_hint.py:126	enabled;selftest	_on = os.environ.get("T2_QUOTE_HINT") == "1"		CELLS	DARK	1			yes
T2_QUOTE_PIN	t2_scaffold_get.py:1659	_sub_inject	qp = iso.get("quote_pin") if os.environ.get("T2_QUOTE_PIN") == "1" else None	L1	CELLS	UNMEASURED	1			yes
T2_READALL	t2_gate_patch.py:9491	apply_unified_regen	if (os.environ.get("T2_READALL") == "1" and ep_led is not None			DARK				no
T2_READALL_CAP	t2_gate_patch.py:9494	apply_unified_regen	and getattr(self, "_t2_readall_deny", 0) < int(os.environ.get("T2_READALL_CAP", "2"))):							no
T2_READ_DEDUP	t2_gate_patch.py:7941	_install_regen_exec	dedup_on = (os.environ.get("T2_READ_DEDUP") == "1"	L11	CELLS	UNMEASURED	1			yes
T2_READ_DEDUP_LOOP_K	t2_gate_patch.py:7956	_install_regen_exec	loop_k = int(os.environ.get("T2_READ_DEDUP_LOOP_K", "3"))							no
T2_READ_DEDUP_MIN	t2_gate_patch.py:8151	_install_regen_exec	min_len = int(os.environ.get("T2_READ_DEDUP_MIN", "2000"))							no
T2_READ_NEARDUP	t2_gate_patch.py:8091	_install_regen_exec	if (os.environ.get("T2_READ_NEARDUP") == "1"			DARK				no
T2_READ_NEARDUP_J	t2_gate_patch.py:8104	_install_regen_exec	if _j >= float(os.environ.get("T2_READ_NEARDUP_J", "0.8")):							no
T2_READ_PER_ENTITY	t2_dominance.py:286	requirements_for	per_entity = os.environ.get("T2_READ_PER_ENTITY") == "1"				0			yes
T2_REARM_USER_ONLY	t2_gate_patch.py:4816	_rearm_subjects	_uonly = os.environ.get("T2_REARM_USER_ONLY") == "1"				1			yes
T2_REF_ISO	t2_gate_patch.py:9600	apply_unified_regen	if (os.environ.get("T2_REF_ISO") == "1" and a2 is not None			HARMFUL				no
T2_REF_ISO_CAP	t2_gate_patch.py:9602	apply_unified_regen	and getattr(self, "_t2_refiso", 0) < int(os.environ.get("T2_REF_ISO_CAP", "8"))):							no
T2_REF_VERIFY	t2_gate_patch.py:9022	apply_unified_regen	if (a2 is not None and os.environ.get("T2_REF_VERIFY") == "1") else []	L1	CELLS	UNMEASURED	1			yes
T2_REGEN_BUDGET	t2_gate_patch.py:6030	_regen_budget_ok	_b = os.environ.get("T2_REGEN_BUDGET")		HARNESS		12			yes
T2_REGEN_KEEP_MUTATING	t2_gate_patch.py:14499	apply_unified_regen	if os.environ.get("T2_REGEN_KEEP_MUTATING") == "1":				1			yes
T2_REGEN_WRITE_GATES	t2_gate_patch.py:14373	apply_unified_regen	if os.environ.get("T2_REGEN_WRITE_GATES") == "1":				1			yes
T2_REPEAT_CAP	t2_gate_patch.py:8011;t2_gate_patch.py:8037	_install_regen_exec	_capk = int(os.environ.get("T2_REPEAT_CAP", "0") or 0)		RETIRED		8			yes
T2_REPEAT_GOV	t2_gate_patch.py:8004	_install_regen_exec	if os.environ.get("T2_REPEAT_GOV") == "1":			DARK				no
T2_REQUIRE_DOC	t2_gate_patch.py:10042	apply_unified_regen	and os.environ.get("T2_REQUIRE_DOC") == "1"	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_REQUIRE_DOC_DELIVER	t2_gate_patch.py:4510;t2_gate_patch.py:10029	_require_doc_deliver;apply_unified_regen	if os.environ.get("T2_REQUIRE_DOC_DELIVER") != "1":				1			yes
T2_REQUIRE_DOC_DELIVER_CAP	t2_gate_patch.py:4518	_require_doc_deliver	cap = int(os.environ.get("T2_REQUIRE_DOC_DELIVER_CAP", "3"))				3			yes
T2_REQUIRE_DOC_DELIVER_MAX	t2_gate_patch.py:4519	_require_doc_deliver	maxc = int(os.environ.get("T2_REQUIRE_DOC_DELIVER_MAX", "90000"))				90000			yes
T2_RESOLVE	t2_gate_patch.py:9552	apply_unified_regen	if (os.environ.get("T2_RESOLVE") == "1" and a2 is not None		CELLS	HARMFUL	1			yes
T2_RESOLVE_CAP	t2_gate_patch.py:6059	_resolve_cap_ok	_c = os.environ.get("T2_RESOLVE_CAP")							no
T2_RETRY_CONTROLLER	t2_gate_patch.py:1259	apply	retry_on = os.environ.get("T2_RETRY_CONTROLLER") == "1"			NEAR_VALID(0 VALID)				no
T2_RETRY_K	t2_gate_patch.py:1260	apply	retry_k = int(os.environ.get("T2_RETRY_K", "3")) # rule②: 연속 실패 K회 가드							no
T2_RETURN_EMPTY	t2_scaffold_get.py:3146	apply	if (os.environ.get("T2_RETURN_EMPTY") == "1" and not _dets	L8		UNMEASURED	1			yes
T2_ROUTE_TRACE	t2_gate_patch.py:13185	apply_unified_regen	if os.environ.get("T2_ROUTE_TRACE", "1") == "1":							no
T2_RULES_PROMPT	t2_agent_rules_patch.py:18	apply	rules_path = rules_path or os.environ.get("T2_RULES_PROMPT")							no
T2_RULE_AT_WRITE	t2_gate_patch.py:12697	apply_unified_regen	if (os.environ.get("T2_RULE_AT_WRITE") == "1"				${T2_RULE_AT_WRITE:-0}	1		yes
T2_SALVAGE	t2_salvage.py:90;t2_salvage.py:147	<module>;salvage_message	if os.environ.get("T2_SALVAGE") != "1":			DARK				no
T2_SALVAGE_ALL	t2_run_gated.py:574	main	if _made and os.environ.get("T2_SALVAGE_ALL") != "1":							no
T2_SCAFFOLD_GET	t2_run_gated.py:286;t2_scaffold_get.py:2437	apply;main	if os.environ.get("T2_SCAFFOLD_GET") == "1":	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_SCALAR_ARRAY	t2_gate_patch.py:1546	_axis_surface	if os.environ.get("T2_SCALAR_ARRAY") == "1":			DARK				no
T2_SCHEMA_ENUM	t2_gate_patch.py:12071	apply_unified_regen	if os.environ.get("T2_SCHEMA_ENUM") == "1":				0			yes
T2_SCOPE_ALL	t2_resolve.py:288	resolve_operator	if os.environ.get("T2_SCOPE_ALL") != "1":				0			yes
T2_SCOPE_AT_DISPATCH_ONLY	t2_resolve.py:281	resolve_operator	if (os.environ.get("T2_SCOPE_AT_DISPATCH_ONLY", "1") == "1"				1			yes
T2_SCOPE_DENY_CAP	t2_resolve.py:307	resolve_operator	_cap = int(os.environ.get("T2_SCOPE_DENY_CAP", "1") or 0)							no
T2_SEARCH_AGENT	t2_gate_patch.py:8943;t2_gate_patch.py:10432;t2_gate_patch.py:11449;t2_gate_patch.py:11562	apply_unified_regen	and os.environ.get("T2_SEARCH_AGENT") == "1"	L12		UNMEASURED		1		yes
T2_SEARCH_CLOSURE	t2_gate_patch.py:842	_closure_note	if os.environ.get("T2_SEARCH_CLOSURE") != "1" or a2 is None:							no
T2_SEARCH_CLOSURE_CAP	t2_gate_patch.py:880	_closure_note	cap = int(os.environ.get("T2_SEARCH_CLOSURE_CAP", "1200"))							no
T2_SEARCH_EXHAUST_MID	t2_gate_patch.py:14899	apply_unified_regen	_srchex_mid = os.environ.get("T2_SEARCH_EXHAUST_MID") == "1"					1		yes
T2_SEARCH_EXHAUST_NUDGE	t2_gate_patch.py:14900	apply_unified_regen	if (os.environ.get("T2_SEARCH_EXHAUST_NUDGE") == "1" and (_resign or _srchex_mid)	L8	CELLS	UNMEASURED	1			yes
T2_SEARCH_EXHAUST_TH	t2_gate_patch.py:14927	apply_unified_regen	if _stubs >= int(os.environ.get("T2_SEARCH_EXHAUST_TH", "2") or 2):		PARAMS		2			yes
T2_SEARCH_ON_PROCEED	t2_gate_patch.py:11448	apply_unified_regen	and os.environ.get("T2_SEARCH_ON_PROCEED") == "1"	L9		UNMEASURED				no
T2_SEARCH_REARM	t2_gate_patch.py:4950	_search_material	if _gs and os.environ.get("T2_SEARCH_REARM") == "1":				1			yes
T2_SELF_DECLARATION	t2_gate_patch.py:15540	apply_unified_regen	elif (os.environ.get("T2_SELF_DECLARATION") == "1" and (a2 or {}).get("assertion_operands")	L2	CELLS,NOT_LAUNCHED	UNMEASURED	1			yes
T2_SG_BYREF	t2_scaffold_get.py:1971;t2_scaffold_get.py:2650	_augment_byref_params;apply	if os.environ.get("T2_SG_BYREF") != "1":		CELLS	HARMFUL	1			yes
T2_SG_CLOSE_SELF	t2_scaffold_get.py:1198	_sub_fetch_formalize	_self2 = os.environ.get("T2_SG_CLOSE_SELF") == "1"				0	1		yes
T2_SG_DEDUP	t2_scaffold_get.py:2695	apply	if (os.environ.get("T2_SG_DEDUP") == "1"	L4	CELLS	UNMEASURED	1			yes
T2_SG_DOCS	t2_scaffold_get.py:1094	_sub_fetch_formalize	if os.environ.get("T2_SG_DOCS") == "1" and isinstance(iso.get("docs"), dict):				1	1		yes
T2_SG_EXCLUDE	t2_scaffold_get.py:2460;t2_scaffold_get.py:2504;t2_scaffold_get.py:3421	apply	_excl = {x.strip() for x in (os.environ.get("T2_SG_EXCLUDE") or "").split(",") if x.strip()}							no
T2_SG_GROUND	t2_scaffold_get.py:1522;t2_scaffold_get.py:2802	_sub_fetch_formalize;apply	if os.environ.get("T2_SG_GROUND") == "1":		CELLS	HARMFUL	1			yes
T2_SG_ISOFB	t2_scaffold_get.py:1337	_sub_fetch_formalize	if (got and os.environ.get("T2_SG_ISOFB") == "1" and rnd < _maxr - 1	L10	CELLS	UNMEASURED	1			yes
T2_SG_ISOLATE	t2_scaffold_get.py:2738	apply	_iso = _isolate_spec(d) if os.environ.get("T2_SG_ISOLATE") == "1" else None	L10	CELLS	UNMEASURED	1			yes
T2_SG_ISOLATE_TRACE	t2_scaffold_get.py:1860	_isolate_trace	path = os.environ.get("T2_SG_ISOLATE_TRACE")							no
T2_SG_ISO_FILL_ONLY	t2_scaffold_get.py:2756;t2_scaffold_get.py:2779	apply	and os.environ.get("T2_SG_ISO_FILL_ONLY", "1") == "1"				1			yes
T2_SG_PROMPT_V2	t2_scaffold_get.py:1109;t2_scaffold_get.py:1171	_sub_fetch_formalize	elif os.environ.get("T2_SG_PROMPT_V2") == "1":				0	1		yes
T2_SG_RECORD_ORDER	t2_scaffold_get.py:1189	_sub_fetch_formalize	if os.environ.get("T2_SG_RECORD_ORDER") == "1":				${T2_SG_RECORD_ORDER:-0}			yes
T2_SG_REQREADS	t2_scaffold_get.py:2567	apply	if _rr and os.environ.get("T2_SG_REQREADS") == "1":	L5	CELLS	UNMEASURED(L5 미판정)	1	1		yes
T2_SG_REQREADS_CANON	t2_scaffold_get.py:2555	apply	if os.environ.get("T2_SG_REQREADS_CANON") == "1":				0	1		yes
T2_SG_RESULT_RANGE	t2_scaffold_get.py:3087	apply	if (_rrg and os.environ.get("T2_SG_RESULT_RANGE", "1") != "0"				1			yes
T2_SG_ROW_COUNT	t2_scaffold_get.py:3171	apply	if os.environ.get("T2_SG_ROW_COUNT") == "1":				0	1		yes
T2_SG_SCHEMA	t2_scaffold_get.py:1229	_sub_fetch_formalize	if (_tl is None and os.environ.get("T2_SG_SCHEMA") == "1"				1			yes
T2_SG_SUB_TOOLCAP	t2_scaffold_get.py:1264	_sub_fetch_formalize	_stc = int(os.environ.get("T2_SG_SUB_TOOLCAP", "4000"))							no
T2_SG_TRACE	t2_scaffold_get.py:2739	apply	if os.environ.get("T2_SG_TRACE") == "1":		CELLS		1			yes
T2_SG_TRUTH	t2_scaffold_get.py:3349;t2_scaffold_get.py:3366;t2_scaffold_get.py:3417	apply	elif (os.environ.get("T2_SG_TRUTH") == "1"	L1	CELLS	UNMEASURED	1			yes
T2_SG_WINDOW_ABSTAIN	t2_compute.py:265	_apply_op	and os.environ.get("T2_SG_WINDOW_ABSTAIN") == "1"	L8	CELLS	UNMEASURED	1			yes
T2_SIBLING_PAREN	t2_gate_patch.py:13575;t2_gate_patch.py:13585	apply_unified_regen	if os.environ.get("T2_SIBLING_PAREN") in ("log", "deny", "strip") and getattr(am, "tool_calls", None):				strip		strip	yes
T2_SOURCE	t2_gate_patch.py:10813	apply_unified_regen	if os.environ.get("T2_SOURCE") == "1":	L3	CELLS	UNMEASURED	1			yes
T2_SOURCE_QUALIFY	t2_source.py:304;t2_source.py:435;t2_source.py:439	<module>;unsourced_claims	if os.environ.get("T2_SOURCE_QUALIFY") != "1":			HARMFUL				no
T2_SPEAK_PROHIBIT	t2_speak.py:65	prohibits_target	if os.environ.get("T2_SPEAK_PROHIBIT") != "1":	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_SPEC_ARG_FACTS	t2_gate_patch.py:12189	apply_unified_regen	if os.environ.get("T2_SPEC_ARG_FACTS") == "1" and en_fb is None:				0			yes
T2_SPEC_AT_WRITE	t2_gate_patch.py:12668	apply_unified_regen	if (os.environ.get("T2_SPEC_AT_WRITE") == "1" and _spec				${T2_SPEC_AT_WRITE:-0}	1		yes
T2_SPEC_AT_WRITE_MIN	t2_gate_patch.py:12669	apply_unified_regen	and _sd >= int(os.environ.get("T2_SPEC_AT_WRITE_MIN", "8"))):				8			yes
T2_STACK_OBSERVE	t2_stack.py:704	observe	if os.environ.get("T2_STACK_OBSERVE", "1") != "1":							no
T2_STACK_WINDOW	t2_stack.py:742	admit	if os.environ.get("T2_STACK_WINDOW", "1") != "1":	L13		UNMEASURED				no
T2_STALE_STRIP	t2_gate_patch.py:13698	apply_unified_regen	if os.environ.get("T2_STALE_STRIP") == "1" and getattr(am, "tool_calls", None):	L11	CELLS	UNMEASURED	1			yes
T2_STOP_FIRST_TOOLCALL	t2_run_gated.py:366;t2_run_gated.py:477	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):				0			yes
T2_SUBCALL_CACHE	t2_subcall.py:102	sub_generate	if os.environ.get("T2_SUBCALL_CACHE", "1") == "1":							no
T2_SUB_REQUIREMENT	t2_gate_patch.py:5122	_search_material	if (os.environ.get("T2_SUB_REQUIREMENT") == "1"	L6		UNMEASURED(L6 미판정)				no
T2_SUPPRESS_AUTH	t2_authority.py:85;t2_authority.py:117;t2_authority.py:119;t2_authority.py:132	<module>;may_suppress	if os.environ.get("T2_SUPPRESS_AUTH") != "1":		META	DARK	1			yes
T2_SURFACE_BUS	t2_gate_patch.py:1585	_axis_surface	if add and os.environ.get("T2_SURFACE_BUS") == "1":	L13	META	UNMEASURED	1			yes
T2_TC_SALVAGE	t2_run_gated.py:366;t2_run_gated.py:454	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):				1	1		yes
T2_TC_SALVAGE_GUIDED	t2_run_gated.py:455	main	_t2_salvage_gj = os.environ.get("T2_TC_SALVAGE_GUIDED") == "1"							no
T2_TERMINAL_TURN	t2_gate_patch.py:1629	_axis_surface	if tail is not None and os.environ.get("T2_TERMINAL_TURN") == "1" and utext:	L9		UNMEASURED				no
T2_TERM_GRANT	t2_eplan_patch.py:1094;t2_eplan_patch.py:1150	apply	if (os.environ.get("T2_EPLAN_WALK") != "1" and os.environ.get("T2_TERM_GRANT") != "1"	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_TERM_GRANT_USERDEMAND	t2_eplan_patch.py:867	_terminal_grant_check	if os.environ.get("T2_TERM_GRANT_USERDEMAND") == "1":	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_THINK_BUDGET	t2_run_gated.py:622;t2_run_gated.py:630	main	_tbm = _think_budget(os.environ.get("T2_THINK_BUDGET"), _capm, "본 응답")							no
T2_TOOLERR	t2_gate_patch.py:9181	apply_unified_regen	if os.environ.get("T2_TOOLERR") == "1" and a2 is not None:			DARK				no
T2_TOOLGATE	t2_scaffold_get.py:3379	apply	elif (os.environ.get("T2_TOOLGATE") == "1"	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_TOOLLIST	t2_gate_patch.py:11711	apply_unified_regen	if (os.environ.get("T2_TOOLLIST") == "1"	L2	CELLS	UNMEASURED	1			yes
T2_TOOLLIST_CAP	t2_gate_patch.py:11716;t2_gate_patch.py:13000	apply_unified_regen	< int(os.environ.get("T2_TOOLLIST_CAP", "6"))):							no
T2_TOOL_CHANNEL	t2_gate_patch.py:1625;t2_gate_patch.py:15578	_axis_surface;apply_unified_regen	if tail is not None and os.environ.get("T2_TOOL_CHANNEL") == "1" and said:	L7	CELLS	UNMEASURED	1			yes
T2_TOOL_OBS	t2_run_gated.py:366;t2_run_gated.py:462	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):					1		yes
T2_TOOL_OBS_MAX	t2_run_gated.py:463	main	_t2_toolobs_cap = int(os.environ.get("T2_TOOL_OBS_MAX", "600") or 600)							no
T2_TOOL_SIGNATURE	t2_gate_patch.py:11869;t2_gate_patch.py:15940;t2_signature.py:42;t2_signature.py:63;t2_signature.py:73	<module>;apply_unified_regen;signature_violation	_sig_on = os.environ.get("T2_TOOL_SIGNATURE") == "1"		CELLS	HARMFUL	1			yes
T2_TOOL_SIGNATURE_CAP	t2_gate_patch.py:11882	apply_unified_regen	>= int(os.environ.get("T2_TOOL_SIGNATURE_CAP", "6")))							no
T2_TOOL_SIGNATURE_OBSERVE	t2_gate_patch.py:11870	apply_unified_regen	if _sig_on or os.environ.get("T2_TOOL_SIGNATURE_OBSERVE") == "1":							no
T2_TOOL_SURFACE	t2_guided_patch.py:108	surface	v = (os.environ.get("T2_TOOL_SURFACE") or "").strip().lower()				qwen3_xml	${T2_TOOL_SURFACE:-(미선언		yes
T2_TRACE	t2_lever_beat.py:125	_trace	path = os.environ.get("T2_TRACE")					$LOG/trace_${TAG}.jsonl		yes
